Created At,0
01-04-2024,406
02-04-2024,388
03-04-2024,397
04-04-2024,421
05-04-2024,460
06-04-2024,692
07-04-2024,0
08-04-2024,671
09-04-2024,839
10-04-2024,837
11-04-2024,0
12-04-2024,0
13-04-2024,56
14-04-2024,0
15-04-2024,537
16-04-2024,746
17-04-2024,437
18-04-2024,588
19-04-2024,236
20-04-2024,205
21-04-2024,13
22-04-2024,181
23-04-2024,159
24-04-2024,79
25-04-2024,31
26-04-2024,6
27-04-2024,1
28-04-2024,0
29-04-2024,1
30-04-2024,2
01-05-2024,3
02-05-2024,21
03-05-2024,32
04-05-2024,25
05-05-2024,3
06-05-2024,150
07-05-2024,603
08-05-2024,1371
09-05-2024,1727
10-05-2024,2156
11-05-2024,2135
12-05-2024,70
13-05-2024,2638
14-05-2024,2795
15-05-2024,2505
16-05-2024,1151.517172
17-05-2024,1198.53385
18-05-2024,1246.616099
19-05-2024,1296.943436
20-05-2024,1350.309114
21-05-2024,1407.615549
22-05-2024,1478.332124
23-05-2024,1520.31356
24-05-2024,1593.40244
25-05-2024,1678.390189
26-05-2024,1768.551388
27-05-2024,1824.440884
28-05-2024,1879.939089
29-05-2024,1937.500445
30-05-2024,1991.992692
31-05-2024,2070.95142
01-06-2024,2162.441856
02-06-2024,2243.380073
03-06-2024,2333.452873
04-06-2024,2409.804731
05-06-2024,2485.115785
06-06-2024,2551.324777
07-06-2024,2623.90351
08-06-2024,2694.70644
09-06-2024,2760.535578
10-06-2024,2822.011025
11-06-2024,2879.492768
12-06-2024,2933.313258
13-06-2024,2983.147612
14-06-2024,3028.570332
