Call Volume,Efficiency Score,Day,Month,Year,No of Agents
406,1.180873538,1,4,2024,2
388,1.180873538,2,4,2024,2
397,0.787249025,3,4,2024,3
421,1.351512348,4,4,2024,3
460,1.040397922,5,4,2024,4
692,1.162409618,6,4,2024,4
0,0,7,4,2024,0
671,1.162409618,8,4,2024,4
839,1.162409618,9,4,2024,4
837,1.268485688,10,4,2024,5
0,0,11,4,2024,0
0,0,12,4,2024,0
56,1.268485688,13,4,2024,5
0,0,14,4,2024,0
537,1.026259176,15,4,2024,5
746,1.162409618,16,4,2024,4
437,1.162409618,17,4,2024,4
588,1.162409618,18,4,2024,4
236,1.162409618,19,4,2024,4
205,1.16634132,20,4,2024,3
13,8.176100629,21,4,2024,1
181,1.23440086,22,4,2024,2
159,1.206472077,23,4,2024,3
79,1.23440086,24,4,2024,2
31,2.892017486,25,4,2024,4
6,0.983486375,26,4,2024,3
1,1.211132564,27,4,2024,1
0,0,28,4,2024,0
1,1.211132564,29,4,2024,1
2,1.257669156,30,4,2024,1
3,1.692789969,1,5,2024,1
21,8.176100629,2,5,2024,1
32,1.150614512,3,5,2024,1
25,8.176100629,4,5,2024,1
3,8.176100629,5,5,2024,1
150,2.56514782,6,5,2024,5
603,1.268485688,7,5,2024,5
1371,1.530933768,8,5,2024,18
1727,1.173865853,9,5,2024,17
2156,1.593171136,10,5,2024,16
2135,1.167383259,11,5,2024,15
70,0.923373358,12,5,2024,1
2638,1.141758406,13,5,2024,16
2795,1.51282556,14,5,2024,18
2505,1.502239418,15,5,2024,17
